Club,Dernière montée,Classement 2023-2024,Entraîneur(s),Depuis,Stade,Capacité en L1,Nombre de saison(s) en L1[3]
Paris Saint-Germain,1974,1er,Luis Enrique,2023,Parc des Princes,47 929,52
AS Monaco,2013,2e,Adi Hütter,2023,Stade Louis-II,16 500,66
Stade brestois 29,2019,3e,Éric Roy,2023,Stade Francis-Le Blé,15 220,19
LOSC Lille,2000,4e,Bruno Genesio,2024,Stade Pierre-Mauroy,50 186,65
OGC Nice,2002,5e,Franck Haise,2024,Allianz Riviera,35 596,66
Olympique lyonnais,1989,6e,Paulo Fonseca,2025,Groupama Stadium,57 206,67
RC Lens,2020,7e,Will Still,2024,Stade Bollaert-Delelis,38 223,63
Olympique de Marseille,1996,8e,Roberto De Zerbi,2024,Orange Vélodrome,66 226,75
Stade de Reims,2018,9e,Samba Diawara,2025,Stade Auguste-Delaune,20 546,40
Stade rennais FC,1994,10e,Habib Beye,2025,Roazhon Park,29 778,68
Toulouse FC,2022,11e,Carles Martínez Novell,2023,Stadium de Toulouse,33 150,35
Montpellier HSC,2009,12e,Zoumana Camara,2025,Stade de la Mosson,22 000,43
RC Strasbourg,2017,13e,Liam Rosenior,2024,Stade de la Meinau,26 109,64
FC Nantes,2013,14e,Antoine Kombouaré,2024,Stade de la Beaujoire,35 322,57
Le Havre AC,2023,15e,Didier Digard,2024,Stade Océane,25 178,26
AJ Auxerre,2024,1er (Ligue 2),Christophe Pélissier,2022,Stade de l'Abbé-Deschamps,18 541,34
Angers SCO,2024,2e (Ligue 2),Alexandre Dujeux,2023,Stade Raymond-Kopa,19 350,32
AS Saint-Étienne,2024,3e (Ligue 2),Eirik Horneland,2024,Stade Geoffroy-Guichard,41 965,70
